0,165852925
1,0
2,130012755
3,150932792
4,189793987
5,142889559
6,77207438
7,171944917
8,191506217
9,193375266
10,158776506
11,186051522
12,Koruru232
13,190762865
14,1301000
15,179281590
16,72791774
17,139197835
18,175293106
19,158729262
20,76532996
21,152734515
22,120889298
23,186076211
24,192088414
25,69325312
26,157701920
27,169573629
28,155543597
29,163491758
30,138911716
31,189208683
32,3867281
33,148583773
34,152554635
35,188016508
36,170417728
37,164759270
38,1801181
39,181390018
40,145293509
41,161161698
42,babulliu
43,140037274
44,yekandianying
45,43892300
46,105836741
47,179838390
48,124371775
49,164757544
50,188473382
51,82990219
52,kinta17
53,154016828
54,shisimin123
55,162045118
56,126768933
57,175196148
58,152161506
59,1611453
60,182002434
61,178021632
62,148307147
63,162843649
64,182148401
65,150748233
66,179477395
67,66388662
68,173083457
69,167972689
70,177347133
71,144189700
72,119542533
73,150455877
74,166123842
75,141174617
76,159040609
77,81767054
78,89154376
79,167178788
80,147586514
81,141526076
82,songjunvip
83,168696537
84,138057484
85,179242540
86,188002460
87,149656586
88,147379123
89,157887545
90,187737257
91,132102920
92,51859658
93,1237533
94,153714412
95,forever2006
96,ibookreview
97,152812220
98,167511914
99,shengyiw
100,abjkl
101,50695563
102,152588922
103,adakenndy
104,177394808
105,153603056
106,46008904
107,kinokinokino
108,186942520
109,97477540
110,190534546
111,140485499
112,writerlin
113,missangle4
114,183787109
115,148175534
116,64990268
117,148232664
118,Mitranslation
119,143119661
120,21771687
121,daisywangxh
122,176655142
123,156726538
124,174743173
125,1226548
126,183918988
127,193481856
128,177445654
129,mulinwyx
130,187771419
131,187064660
132,65035686
133,193372388
134,190629258
135,72227823
136,180124042
137,183556372
138,zhuguli0613
139,69858812
140,47574921
141,3665615
142,70702846
143,aboutdy
144,66120688
145,159371782
146,153568950
147,192267652
148,ohiyo
149,164084916
150,189186736
151,171590399
152,144578898
153,157103794
154,157702456
155,151933204
156,44132660
157,175984469
158,yibenbuzhengjin
159,dyb1905
160,101505648
161,141083845
162,128011551
163,141478143
164,storyforever
165,170007962
166,184277059
167,71033518
168,167631412
169,191572248
170,157536455
171,143914017
172,78412420
173,88308528
174,128673947
175,141639793
176,177717893
177,156149833
178,164966282
179,bigfishman
180,181109331
181,185895967
182,165961975
183,178768048
184,194098703
185,188479337
186,yzy244624927
187,185089625
188,170323427
189,cmf2015
190,yuminshuiqi
191,149258834
192,vitaminJ
193,61813884
194,67335176
195,194532205
196,isucceed
197,bamboo1988
198,172779727
199,194314111
200,187876302
201,pocier
202,havenwind
203,134242968
204,141569487
205,Zivzhu
206,80292676
207,140417960
208,cyan718
209,moviebase
210,188557397
211,49867478
212,48349431
213,56786918
214,162416607
215,nautilusworld
216,68965630
217,153113657
218,146808142
219,139521575
220,187714882
221,wangranran
222,158530212
223,crastal
224,146454781
225,merrychan
226,yangui
227,153440442
228,shangyejianghu
229,55546627
230,160125360
231,rockyao1986
232,dufu770
233,colinpark
234,60689127
235,peijiawen
236,itheque
237,185237657
238,51925461
239,160922944
240,52342078
241,133173414
242,88692625
243,4684887
244,184980637
245,166751631
246,wanyuesu-amira
247,178863470
248,Tina01181023
249,Bambus
250,139682731
251,142562880
252,178645316
253,57630707
254,149162973
255,nibashu
256,69138624
257,Oumuamua
258,53763562
259,155423567
260,188042286
261,138365220
262,192021986
263,151141959
264,151107952
265,154288768
266,1026205
267,54862869
268,184473218
269,148376167
270,184320428
271,157463150
272,150337414
273,157975380
274,168431096
275,45261167
276,152046338
277,144974534
278,81772092
279,180096789
280,159247685
281,76947465
282,184160259
283,158563544
284,61029922
285,125111091
286,151125393
287,183932823
288,71430968
289,142328059
290,184970898
291,162909572
292,2456010
293,39324004
294,183664774
295,161822599
296,168589114
297,187112868
298,138786645
299,champloo
300,150326984
301,180919089
302,191583841
303,52134827
304,51198819
305,191639889
306,174765943
307,159956414
308,168732528
309,ijellybean
310,luofei027
311,188494235
312,161945102
313,baiyanliao
314,156045303
315,104421368
316,164399269
317,187276727
318,191743700
319,154576556
320,154298799
321,193368153
322,181436174
323,88345829
324,xpwk
325,97821155
326,181274057
327,75277573
328,174969409
329,12688356
330,44742932
331,4618038
332,49571457
333,luoying6
334,64290842
335,135372946
336,1340414
337,185252009
338,192774561
339,63359804
340,168100818
341,147769415
342,byedye
343,182514457
344,WyndyHwang
345,183549658
346,157313040
347,145115958
348,127665862
349,bolingdashu
350,37124222
351,59926004
352,145581565
353,135880959
354,HanStar441
355,190293886
356,188334919
357,113056355
358,193456662
359,we-director
360,185252057
361,146615600
362,154724277
363,193332421
364,63428948
365,181272095
366,172184879
367,Renascen
368,185428637
369,49983197
370,MonaQueenKing
371,189973945
372,69130875
373,138955699
374,BIANJU20170418
375,137599220
376,63048086
377,158343599
378,178404721
379,169240954
380,69126099
381,142423590
382,64259816
383,168533340
384,41505649
385,185968883
386,3410802
387,189874551
388,188223451
389,170290001
390,155157792
391,163226052
392,142327847
393,178542586
394,59592876
395,168104871
396,140956290
397,188123312
398,173449675
399,137960270
400,102530810
